,Smiles,ROMol,fp,expt,is_active,cycle
1950,[H]C(=Nc1c([H])nc([H])c([H])c1[H])N1C([H])([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C1([H])[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b005f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e6b30>,gp_200_UCB_False_10,False,1
1951,[H]c1nc([H])c(-c2nc(N([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b00660>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e6cf0>,gp_200_UCB_False_10,False,1
1978,[H]c1nc([H])c(C#CC(=O)N([H])C([H])([H])C([H])([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b006d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e6e40>,gp_200_UCB_False_10,False,1
1979,[H]c1nc([H])c(OC([H])([H])[C@@]([H])(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b00740>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e6820>,gp_200_UCB_False_10,False,1
1980,[H]c1nc([H])c(C(=O)N2C([H])([H])C([H])(C(=O)C([H])([H])C([H])([H])[H])C2([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b007b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e6900>,gp_200_UCB_False_10,False,1
1981,[H]c1nc([H])c(N2C([H])([H])C([H])([H])N(c3c([H])sc4c([H])c([H])c([H])c([H])c34)C([H])([H])C2([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b00820>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e69e0>,gp_200_UCB_False_10,True,1
1982,[H]c1nc([H])c(C(=O)N(OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b00890>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e6ac0>,gp_200_UCB_False_10,False,1
1983,[H]ON([H])C(=O)C([H])=C([H])c1nnc(-c2c([H])nc([H])c([H])c2[H])o1,<rdkit.Chem.rdchem.Mol object at 0x7f1b24b00900>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e6ba0>,gp_200_UCB_False_10,False,1
1984,[H]c1nc([H])c(-c2c([H])c([H])c(N3C([H])([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C3([H])[H])c([H])c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b00970>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e6c80>,gp_200_UCB_False_10,False,1
1985,[H]c1nc([H])c(-c2c([H])c([H])nc(C(=O)N([H])c3c([H])c([H])c(Cl)c([H])c3[H])c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b009e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e6d60>,gp_200_UCB_False_10,False,1
1986,[H]c1nc([H])c(C([H])([H])c2nc3c([H])c(C(=O)N([H])[H])c([H])c([H])c3n2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b00a50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e6eb0>,gp_200_UCB_False_10,False,1
1987,[H]c1nc([H])c(N2C([H])([H])C([H])([H])N(C([H])([H])n3nc(OC([H])([H])[H])oc3=O)C([H])([H])C2([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b00ac0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e6f20>,gp_200_UCB_False_10,False,1
1988,[H]c1nc([H])c(N2C([H])([H])C([H])([H])C([H])([H])[C@]2([H])C(=O)c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b00b30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e6270>,gp_200_UCB_False_10,True,1
1989,[H]c1nc([H])c([C@]2([H])C([H])([H])C([H])([H])[C@@]([H])(c3c([H])c([H])c(C([H])([H])[H])c(C([H])([H])[H])c3[H])C([H])([H])C2([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b00ba0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e6350>,gp_200_UCB_False_10,False,1
1990,[H]C(=Nc1c([H])nc([H])c([H])c1[H])S(=O)(=O)c1c([H])c([H])c([H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b00c10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e64a0>,gp_200_UCB_False_10,False,1
1991,[H]c1nc([H])c(N([H])S(=O)(=O)N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b00c80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e6580>,gp_200_UCB_False_10,False,1
1992,[H]c1nc([H])c(C(=O)N([H])S(=O)(=O)N([H])S(=O)(=O)c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b00cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e65f0>,gp_200_UCB_False_10,False,1
1993,[H]c1nc([H])c(-c2nc(N([H])C3([H])C([H])([H])C3([H])[H])c([H])c([H])c2[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b00d60>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e66d0>,gp_200_UCB_False_10,False,1
1994,[H]c1nc([H])c(N([H])C(=O)C([H])(F)F)c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b00dd0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e6040>,gp_200_UCB_False_10,False,1
1995,[H]c1nc([H])c(N2C([H])([H])C([H])([H])N(C(=O)C(F)(F)F)C([H])([H])C2([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b00e40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e6190>,gp_200_UCB_False_10,False,1
1996,[H]c1nc([H])c(C([H])([H])N(OC(=O)C([H])([H])[H])C([H])([H])[H])c([H])c1[H],<rdkit.Chem.rdchem.Mol object at 0x7f1b24b00eb0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f1b070e6200>,gp_200_UCB_False_10,False,1
